estacionID,fecha,tempaire
EGIMC,2023-04-12T00:00:00,20.250,31.500,9.000
TEPMC,2023-04-12T00:00:00,15.500,22.000,9.000
ALUMR,2023-04-12T00:00:00,24.000,34.000,14.000
AMCMR,2023-04-12T00:00:00,25.000,35.000,15.000
AMIMR,2023-04-12T00:00:00,26.500,35.000,18.000
APAMR,2023-04-12T00:00:00,24.500,33.500,15.500
ATLMR,2023-04-12T00:00:00,20.500,28.000,13.000
CASMR,2023-04-12T00:00:00,24.500,33.000,16.000
CBTMR,2023-04-12T00:00:00,13.200,18.500,8.000
CUAMR,2023-04-12T00:00:00,23.500,32.000,15.000
CUEMR,2023-04-12T00:00:00,21.200,27.500,15.000
CUNMR,2023-04-12T00:00:00,23.000,31.000,15.000
CUSMR,2023-04-12T00:00:00,23.500,31.000,16.000
CUTMR,2023-04-12T00:00:00,26.500,35.000,18.000
ELPMR,2023-04-12T00:00:00,25.000,31.000,19.000
HIGMR,2023-04-12T00:00:00,28.000,38.000,18.000
HUAMR,2023-04-12T00:00:00,26.500,36.000,17.000
HUEMR,2023-04-12T00:00:00,16.500,22.000,11.000
HUIMR,2023-04-12T00:00:00,12.500,18.000,7.000
HUTMR,2023-04-12T00:00:00,27.000,36.000,18.000
HUXMR,2023-04-12T00:00:00,15.000,21.000,9.000
JNCMR,2023-04-12T00:00:00,22.700,31.500,14.000
JOJMR,2023-04-12T00:00:00,27.200,36.000,18.500
LCUMR,2023-04-12T00:00:00,26.500,35.000,18.000
MIAMR,2023-04-12T00:00:00,24.000,33.000,15.000
NEXMR,2023-04-12T00:00:00,28.000,38.000,18.000
OAXMR,2023-04-12T00:00:00,24.000,31.000,17.000
OBSMR,2023-04-12T00:00:00,22.000,31.000,13.000
OCTMR,2023-04-12T00:00:00,19.500,25.000,14.000
PAPMR,2023-04-12T00:00:00,21.000,29.000,13.000
PIXMR,2023-04-12T00:00:00,27.500,37.000,18.000
PROMR,2023-04-12T00:00:00,23.000,31.000,15.000
RODMR,2023-04-12T00:00:00,25.000,33.000,17.000
SLDMR,2023-04-12T00:00:00,22.000,32.000,12.000
TEBMR,2023-04-12T00:00:00,24.500,31.000,18.000
TEMMR,2023-04-12T00:00:00,24.500,34.000,15.000
TETMR,2023-04-12T00:00:00,17.700,24.000,11.500
TICMR,2023-04-12T00:00:00,29.200,37.500,19.000
TILMR,2023-04-12T00:00:00,27.000,35.000,19.000
TLOMR,2023-04-12T00:00:00,19.700,27.000,12.500
TLYMR,2023-04-12T00:00:00,22.500,30.000,15.000
TMAMR,2023-04-12T00:00:00,11.000,16.000,6.000
TMCMR,2023-04-12T00:00:00,17.000,21.000,13.000
TOTMR,2023-04-12T00:00:00,17.500,23.000,12.000
TPLMR,2023-04-12T00:00:00,25.000,32.000,18.000
TPZMR,2023-04-12T00:00:00,25.000,34.000,16.000
TQGMR,2023-04-12T00:00:00,27.000,36.000,18.000
XICMR,2023-04-12T00:00:00,28.500,38.000,19.000
XXOMR,2023-04-12T00:00:00,25.700,35.500,16.000
YAHMR,2023-04-12T00:00:00,23.700,30.500,17.000
ZCTMR,2023-04-12T00:00:00,28.500,36.500,20.500
BEJMX,2023-04-12T00:00:00,27.000,34.000,20.000
CALMX,2023-04-12T00:00:00,13.000,21.000,5.000
CGCMX,2023-04-12T00:00:00,13.500,22.000,5.000
DNXMX,2023-04-12T00:00:00,15.000,26.000,4.000
HPNMX,2023-04-12T00:00:00,12.500,19.000,6.000
PDZMX,2023-04-12T00:00:00,13.000,18.000,8.000
PFBMX,2023-04-12T00:00:00,14.500,24.000,5.000
PIRMX,2023-04-12T00:00:00,12.000,19.000,5.000
PMNMX,2023-04-12T00:00:00,13.500,20.000,7.000
SBBMX,2023-04-12T00:00:00,13.500,21.000,6.000
SLBMX,2023-04-12T00:00:00,13.000,20.000,6.000
SMLMX,2023-04-12T00:00:00,15.000,22.000,8.000
TBRMX,2023-04-12T00:00:00,12.700,20.500,5.000
TESMX,2023-04-12T00:00:00,13.000,19.500,6.500
TJCMX,2023-04-12T00:00:00,14.200,22.000,6.500
TPTMX,2023-04-12T00:00:00,13.000,20.000,6.000
TROMX,2023-04-12T00:00:00,14.700,22.000,7.500
CABNL,2023-04-12T00:00:00,19.750,23.000,16.500
CAMNL,2023-04-12T00:00:00,19.250,23.500,15.000
CCHNL,2023-04-12T00:00:00,20.750,25.000,16.500
CPRNL,2023-04-12T00:00:00,20.000,24.000,16.000
LBCNL,2023-04-12T00:00:00,20.500,25.000,16.000
PAMNL,2023-04-12T00:00:00,22.250,28.000,16.500
ACANR,2023-04-12T00:00:00,24.500,35.000,14.000
GAVNR,2023-04-12T00:00:00,28.000,40.000,16.000
JMANR,2023-04-12T00:00:00,31.700,44.500,19.000
PAJNR,2023-04-12T00:00:00,26.500,39.000,14.000
ROMNR,2023-04-12T00:00:00,24.500,35.500,13.500
RUINR,2023-04-12T00:00:00,25.500,36.000,15.000
TEPNR,2023-04-12T00:00:00,24.700,33.700,15.600
AMTOX,2023-04-12T00:00:00,19.000,26.000,12.000
CDOOX,2023-04-12T00:00:00,27.800,35.000,20.500
COZOX,2023-04-12T00:00:00,29.500,37.000,22.000
FOYOX,2023-04-12T00:00:00,21.000,28.000,14.000
HDLOX,2023-04-12T00:00:00,21.700,29.000,14.500
HLOOX,2023-04-12T00:00:00,21.700,30.300,13.200
JACOX,2023-04-12T00:00:00,26.200,31.000,21.500
MAROX,2023-04-12T00:00:00,27.000,33.500,20.500
OACOX,2023-04-12T00:00:00,25.000,33.000,17.000
OAOOX,2023-04-12T00:00:00,23.000,31.100,15.000
PTAOX,2023-04-12T00:00:00,28.200,33.000,23.400
SCHOX,2023-04-12T00:00:00,22.000,30.000,14.000
SCIOX,2023-04-12T00:00:00,20.000,27.000,13.000
SCROX,2023-04-12T00:00:00,31.100,36.800,25.400
SFUOX,2023-04-12T00:00:00,26.500,34.000,19.000
SLAOX,2023-04-12T00:00:00,20.500,27.500,13.500
SMAOX,2023-04-12T00:00:00,8.500,14.000,3.000
STTOX,2023-04-12T00:00:00,15.200,23.000,7.500
TEMOX,2023-04-12T00:00:00,28.800,36.000,21.500
TEPOX,2023-04-12T00:00:00,15.500,25.000,6.000
TNMOX,2023-04-12T00:00:00,30.500,38.000,23.000
TSLOX,2023-04-12T00:00:00,22.000,30.000,14.000
ZAPOX,2023-04-12T00:00:00,22.000,30.000,14.000
ACHPB,2023-04-12T00:00:00,14.500,19.000,10.000
ACJPB,2023-04-12T00:00:00,14.000,21.000,7.000
ADOPB,2023-04-12T00:00:00,23.500,31.000,16.000
AHAPB,2023-04-12T00:00:00,19.500,29.000,10.000
AHUPB,2023-04-12T00:00:00,12.000,17.500,6.500
APAPB,2023-04-12T00:00:00,23.500,28.000,19.000
ATXPB,2023-04-12T00:00:00,19.000,26.000,12.000
BDDPB,2023-04-12T00:00:00,15.500,23.000,8.000
CDSPB,2023-04-12T00:00:00,13.500,19.000,8.000
CHIPB,2023-04-12T00:00:00,23.500,31.000,16.000
CHLPB,2023-04-12T00:00:00,16.500,23.000,10.000
CHSPB,2023-04-12T00:00:00,29.500,40.000,19.000
CNAPB,2023-04-12T00:00:00,17.500,29.000,6.000
CNGPB,2023-04-12T00:00:00,11.500,16.500,6.500
HJTPB,2023-04-12T00:00:00,16.000,23.000,9.000
HQCPB,2023-04-12T00:00:00,22.500,30.000,15.000
HUAPB,2023-04-12T00:00:00,17.000,22.000,12.000
IXTPB,2023-04-12T00:00:00,17.000,24.000,10.000
IZMPB,2023-04-12T00:00:00,26.000,32.000,20.000
LIBPB,2023-04-12T00:00:00,15.000,22.500,7.500
MAYPB,2023-04-12T00:00:00,19.000,27.000,11.000
MTLPB,2023-04-12T00:00:00,21.000,25.000,17.000
PIXPB,2023-04-12T00:00:00,26.000,35.000,17.000
PUOPB,2023-04-12T00:00:00,18.000,26.200,9.800
QUIPB,2023-04-12T00:00:00,15.000,19.000,11.000
RNAPB,2023-04-12T00:00:00,23.000,28.000,18.000
SCRPB,2023-04-12T00:00:00,17.000,25.000,9.000
SRTPB,2023-04-12T00:00:00,14.000,20.000,8.000
TECPB,2023-04-12T00:00:00,17.500,24.000,11.000
TEHPB,2023-04-12T00:00:00,23.000,30.000,16.000
TEOPB,2023-04-12T00:00:00,15.500,20.000,11.000
TLPPB,2023-04-12T00:00:00,25.000,31.000,19.000
TPYPB,2023-04-12T00:00:00,16.500,22.000,11.000
UDSPB,2023-04-12T00:00:00,16.000,22.000,10.000
XDJPB,2023-04-12T00:00:00,17.500,22.000,13.000
ZRGPB,2023-04-12T00:00:00,14.000,19.000,9.000
ACTSI,2023-04-12T00:00:00,26.000,38.000,14.000
AHMSI,2023-04-12T00:00:00,25.500,37.000,14.000
AL2SI,2023-04-12T00:00:00,25.250,38.000,12.500
ARCSI,2023-04-12T00:00:00,25.500,36.000,15.000
AWSSI,2023-04-12T00:00:00,24.500,37.000,12.000
BDRSI,2023-04-12T00:00:00,25.000,40.000,10.000
CFRSI,2023-04-12T00:00:00,24.200,39.000,9.500
CHXSI,2023-04-12T00:00:00,29.700,41.000,18.500
CLCSI,2023-04-12T00:00:00,26.250,36.000,16.500
CRRSI,2023-04-12T00:00:00,24.000,38.000,10.000
DRDSI,2023-04-12T00:00:00,25.000,36.000,14.000
EFTSI,2023-04-12T00:00:00,24.500,36.000,13.000
GB2SI,2023-04-12T00:00:00,26.500,37.000,16.000
GD2SI,2023-04-12T00:00:00,23.750,32.500,15.000
GMCSI,2023-04-12T00:00:00,25.500,38.000,13.000
GSVSI,2023-04-12T00:00:00,25.000,34.000,16.000
HDZSI,2023-04-12T00:00:00,23.200,32.500,14.000
IXPSI,2023-04-12T00:00:00,25.500,39.000,12.000
JLPSI,2023-04-12T00:00:00,26.000,36.000,16.000
JNASI,2023-04-12T00:00:00,26.500,40.000,13.000
JORSI,2023-04-12T00:00:00,27.000,39.000,15.000
LCRSI,2023-04-12T00:00:00,23.500,31.000,16.000
